time,open,high,low,close,volume
2016-01-14,117.658,118.275,117.288,118.041,192688
2016-01-15,118.044,118.267,116.505,116.997,198409
2016-01-18,116.65,117.435,116.65,117.323,148400
2016-01-19,117.299,118.109,117.229,117.613,181873
2016-01-20,117.609,117.681,115.97,116.92,220440
2016-01-21,116.918,117.804,116.467,117.693,239592
2016-01-22,117.678,118.876,117.534,118.769,181499
2016-01-25,118.637,118.852,118.167,118.285,172769
2016-01-26,118.293,118.618,117.651,118.406,167646
2016-01-27,118.403,119.067,118.039,118.666,190884
2016-01-28,118.643,118.987,118.411,118.798,183089
2016-01-29,118.799,121.686,118.395,121.119,223570
2016-02-01,121.314,121.482,120.675,120.961,160161
2016-02-02,120.952,121.032,119.833,119.949,171709
2016-02-03,119.931,120.04,117.049,117.88,229730
2016-02-04,117.875,118.234,116.524,116.76,233454
2016-02-05,116.767,117.428,116.29,116.819,197340
2016-02-08,116.783,117.52,115.17,115.835,209637
2016-02-09,115.832,115.843,114.204,115.126,256045
2016-02-10,115.107,115.255,113.115,113.317,264772
2016-02-11,113.315,113.593,110.979,112.405,269972
2016-02-12,112.402,113.536,111.657,113.209,240662
2016-02-15,113.357,114.727,113.267,114.558,170963
2016-02-16,114.568,114.871,113.591,114.032,195037
2016-02-17,114.065,114.5,113.37,114.066,189468
2016-02-18,114.062,114.317,113.139,113.216,178616
2016-02-19,113.246,113.375,112.301,112.531,177750
2016-02-22,112.572,113.383,112.422,112.905,143233
2016-02-23,112.803,113.05,111.768,112.093,175359
2016-02-24,112.075,112.262,111.039,112.169,185691
2016-02-25,112.152,113.02,111.893,112.981,190488
2016-02-26,112.962,113.988,112.558,113.984,172956
2016-02-29,113.947,113.979,112.649,112.669,182674
2016-03-01,112.666,114.18,112.153,113.974,168730
2016-03-02,113.977,114.55,113.212,113.476,175751
2016-03-03,113.47,114.264,113.293,113.667,162182
2016-03-04,113.665,114.254,113.116,113.769,166988
2016-03-07,113.922,113.925,113.221,113.43,141104
2016-03-08,113.408,113.517,112.419,112.611,156711
2016-03-09,112.612,113.449,112.223,113.315,144713
2016-03-10,113.314,114.443,112.603,113.211,174292
2016-03-11,113.168,113.913,112.749,113.795,136661
